Horodateur,Votre âge,Sexe,Combien de temps passez-vous en moyenne sur les réseaux sociaux par jour ?,"Combien de temps passez-vous en moyenne sur les plateformes de streaming (Netflix, YouTube, prime video etc.) par jour ?",Combien de temps passez-vous en moyenne dans les jeux vidéos par jour ?,Quelle est votre plateforme préférée ?,Quel appareil électronique utilisez-vous d'habitude ?
27/03/2025 00:06:58,18 - 25 ans,Femme,2 heures - 4 heures,45 minutes - 2 heures,moins de 15 minutes,Snapchat,Smartphone
27/03/2025 00:16:08,18 - 25 ans,Homme,45 minutes - 2 heures,45 minutes - 2 heures,45 minutes - 2 heures,WhatsApp,Smartphone
27/03/2025 00:17:11,18 - 25 ans,Homme,45 minutes - 2 heures,plus de 8 heures,moins de 15 minutes,LinkedIn,Smartphone
27/03/2025 00:18:48,18 - 25 ans,Femme,plus de 8 heures,moins de 15 minutes,moins de 15 minutes,WhatsApp,Smartphone
27/03/2025 00:19:26,plus de 28 ans,Homme,4 heures - 8 heures,45 minutes - 2 heures,moins de 15 minutes,Facebook,Smartphone
27/03/2025 00:31:05,18 - 25 ans,Homme,plus de 8 heures,15 minutes - 45 minutes,moins de 15 minutes,Facebook,Smartphone
27/03/2025 00:32:58,25 - 30 ans,Homme,4 heures - 8 heures,2 heures - 4 heures,moins de 15 minutes,WhatsApp,Smartphone
27/03/2025 09:15:06,18 - 25 ans,Homme,2 heures - 4 heures,45 minutes - 2 heures,15 minutes - 45 minutes,YouTube,Smartphone
27/03/2025 09:15:28,25 - 30 ans,Femme,15 minutes - 45 minutes,2 heures - 4 heures,moins de 15 minutes,WhatsApp,Smartphone
27/03/2025 09:15:37,18 - 25 ans,Homme,4 heures - 8 heures,45 minutes - 2 heures,45 minutes - 2 heures,Instagram,Smartphone
27/03/2025 09:16:01,18 - 25 ans,Homme,4 heures - 8 heures,2 heures - 4 heures,moins de 15 minutes,WhatsApp,Smartphone
27/03/2025 09:16:55,18 - 25 ans,Homme,4 heures - 8 heures,2 heures - 4 heures,moins de 15 minutes,Instagram,Smartphone
27/03/2025 09:19:42,18 - 25 ans,Homme,45 minutes - 2 heures,15 minutes - 45 minutes,moins de 15 minutes,WhatsApp,Smartphone
27/03/2025 09:21:53,18 - 25 ans,Homme,2 heures - 4 heures,15 minutes - 45 minutes,moins de 15 minutes,WhatsApp,Smartphone
27/03/2025 09:25:13,18 - 25 ans,Homme,2 heures - 4 heures,moins de 15 minutes,45 minutes - 2 heures,WhatsApp,Smartphone
27/03/2025 09:33:30,18 - 25 ans,Femme,15 minutes - 45 minutes,45 minutes - 2 heures,moins de 15 minutes,WhatsApp,Smartphone
27/03/2025 09:33:58,18 - 25 ans,Femme,4 heures - 8 heures,15 minutes - 45 minutes,moins de 15 minutes,TikTok,Smartphone
27/03/2025 09:36:36,18 - 25 ans,Femme,plus de 8 heures,moins de 15 minutes,moins de 15 minutes,WhatsApp,Smartphone
27/03/2025 09:50:21,18 - 25 ans,Femme,2 heures - 4 heures,4 heures - 8 heures,moins de 15 minutes,YouTube,Smartphone
27/03/2025 09:52:13,18 - 25 ans,Homme,2 heures - 4 heures,45 minutes - 2 heures,45 minutes - 2 heures,YouTube,Smartphone
27/03/2025 09:54:14,18 - 25 ans,Femme,2 heures - 4 heures,45 minutes - 2 heures,moins de 15 minutes,LinkedIn,Smartphone
27/03/2025 09:54:24,25 - 30 ans,Femme,4 heures - 8 heures,15 minutes - 45 minutes,moins de 15 minutes,Facebook,Smartphone
