horodateur,age,sexe,temps_reseaux,temps_streaming,temps_jeux,plateforme_preferee,appareils_utilises,temps_reseaux_mns,temps_streaming_mns,temps_jeux_mns
2025-03-27 00:06:58,18 - 25 ans,Femme,2 heures - 4 heures,45 minutes - 2 heures,moins de 15 minutes,Snapchat,Smartphone,180.0,82.5,7.5
2025-03-27 00:16:08,18 - 25 ans,Homme,45 minutes - 2 heures,45 minutes - 2 heures,45 minutes - 2 heures,WhatsApp,Smartphone,82.5,82.5,82.5
2025-03-27 00:17:11,18 - 25 ans,Homme,45 minutes - 2 heures,plus de 8 heures,moins de 15 minutes,LinkedIn,Smartphone,82.5,600.0,7.5
2025-03-27 00:18:48,18 - 25 ans,Femme,plus de 8 heures,moins de 15 minutes,moins de 15 minutes,WhatsApp,Smartphone,600.0,7.5,7.5
2025-03-27 00:31:05,18 - 25 ans,Homme,plus de 8 heures,15 minutes - 45 minutes,moins de 15 minutes,Facebook,Smartphone,600.0,30.0,7.5
2025-03-27 00:32:58,25 - 30 ans,Homme,4 heures - 8 heures,2 heures - 4 heures,moins de 15 minutes,WhatsApp,Smartphone,360.0,180.0,7.5
2025-03-27 09:15:06,18 - 25 ans,Homme,2 heures - 4 heures,45 minutes - 2 heures,15 minutes - 45 minutes,YouTube,Smartphone,180.0,82.5,30.0
2025-03-27 09:15:28,25 - 30 ans,Femme,15 minutes - 45 minutes,2 heures - 4 heures,moins de 15 minutes,WhatsApp,Smartphone,30.0,180.0,7.5
2025-03-27 09:15:37,18 - 25 ans,Homme,4 heures - 8 heures,45 minutes - 2 heures,45 minutes - 2 heures,Instagram,Smartphone,360.0,82.5,82.5
2025-03-27 09:16:01,18 - 25 ans,Homme,4 heures - 8 heures,2 heures - 4 heures,moins de 15 minutes,WhatsApp,Smartphone,360.0,180.0,7.5
2025-03-27 09:16:55,18 - 25 ans,Homme,4 heures - 8 heures,2 heures - 4 heures,moins de 15 minutes,Instagram,Smartphone,360.0,180.0,7.5
2025-03-27 09:19:42,18 - 25 ans,Homme,45 minutes - 2 heures,15 minutes - 45 minutes,moins de 15 minutes,WhatsApp,Smartphone,82.5,30.0,7.5
2025-03-27 09:21:53,18 - 25 ans,Homme,2 heures - 4 heures,15 minutes - 45 minutes,moins de 15 minutes,WhatsApp,Smartphone,180.0,30.0,7.5
2025-03-27 09:25:13,18 - 25 ans,Homme,2 heures - 4 heures,moins de 15 minutes,45 minutes - 2 heures,WhatsApp,Smartphone,180.0,7.5,82.5
2025-03-27 09:33:30,18 - 25 ans,Femme,15 minutes - 45 minutes,45 minutes - 2 heures,moins de 15 minutes,WhatsApp,Smartphone,30.0,82.5,7.5
2025-03-27 09:33:58,18 - 25 ans,Femme,4 heures - 8 heures,15 minutes - 45 minutes,moins de 15 minutes,TikTok,Smartphone,360.0,30.0,7.5
2025-03-27 09:36:36,18 - 25 ans,Femme,plus de 8 heures,moins de 15 minutes,moins de 15 minutes,WhatsApp,Smartphone,600.0,7.5,7.5
2025-03-27 09:50:21,18 - 25 ans,Femme,2 heures - 4 heures,4 heures - 8 heures,moins de 15 minutes,YouTube,Smartphone,180.0,360.0,7.5
2025-03-27 09:52:13,18 - 25 ans,Homme,2 heures - 4 heures,45 minutes - 2 heures,45 minutes - 2 heures,YouTube,Smartphone,180.0,82.5,82.5
2025-03-27 09:54:14,18 - 25 ans,Femme,2 heures - 4 heures,45 minutes - 2 heures,moins de 15 minutes,LinkedIn,Smartphone,180.0,82.5,7.5
2025-03-27 09:54:24,25 - 30 ans,Femme,4 heures - 8 heures,15 minutes - 45 minutes,moins de 15 minutes,Facebook,Smartphone,360.0,30.0,7.5
2025-03-27 09:59:44,18 - 25 ans,Femme,15 minutes - 45 minutes,15 minutes - 45 minutes,moins de 15 minutes,YouTube,Smartphone,30.0,30.0,7.5
2025-03-27 10:00:42,18 - 25 ans,Femme,4 heures - 8 heures,45 minutes - 2 heures,moins de 15 minutes,Facebook,Smartphone,360.0,82.5,7.5
2025-03-27 10:05:26,18 - 25 ans,Femme,plus de 8 heures,45 minutes - 2 heures,moins de 15 minutes,WhatsApp,Smartphone,600.0,82.5,7.5
2025-03-27 10:20:22,18 - 25 ans,Femme,45 minutes - 2 heures,15 minutes - 45 minutes,moins de 15 minutes,Instagram,Smartphone,82.5,30.0,7.5
